, LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,CN0100100000000,1,1,"Autauga County, AL",,,,
1,CN0100300000000,1,3,"Baldwin County, AL",,,,
2,CN0100500000000,1,5,"Barbour County, AL",,,,
3,CN0100700000000,1,7,"Bibb County, AL",,,,
4,CN0100900000000,1,9,"Blount County, AL",,,,
5,CN0101100000000,1,11,"Bullock County, AL",,,,
6,CN0101300000000,1,13,"Butler County, AL",,,,
7,CN0101500000000,1,15,"Calhoun County, AL",,,,
8,CN0101700000000,1,17,"Chambers County, AL",,,,
9,CN0101900000000,1,19,"Cherokee County, AL",,,,
10,CN0102100000000,1,21,"Chilton County, AL",,,,
11,CN0102300000000,1,23,"Choctaw County, AL",,,,
12,CN0102500000000,1,25,"Clarke County, AL",,,,
13,CN0102700000000,1,27,"Clay County, AL",,,,
14,CN0102900000000,1,29,"Cleburne County, AL",,,,
15,CN0103100000000,1,31,"Coffee County, AL",,,,
16,CN0103300000000,1,33,"Colbert County, AL",,,,
17,CN0103500000000,1,35,"Conecuh County, AL",,,,
18,CN0103700000000,1,37,"Coosa County, AL",,,,
19,CN0103900000000,1,39,"Covington County, AL",,,,
20,CN0104100000000,1,41,"Crenshaw County, AL",,,,
21,CN0104300000000,1,43,"Cullman County, AL",,,,
22,CN0104500000000,1,45,"Dale County, AL",,,,
23,CN0104700000000,1,47,"Dallas County, AL",,,,
24,CN0104900000000,1,49,"DeKalb County, AL",,,,
25,CN0105100000000,1,51,"Elmore County, AL",,,,
26,CN0105300000000,1,53,"Escambia County, AL",,,,
27,CN0105500000000,1,55,"Etowah County, AL",,,,
28,CN0105700000000,1,57,"Fayette County, AL",,,,
29,CN0105900000000,1,59,"Franklin County, AL",,,,
30,CN0106100000000,1,61,"Geneva County, AL",,,,
31,CN0106300000000,1,63,"Greene County, AL",,,,
32,CN0106500000000,1,65,"Hale County, AL",,,,
33,CN0106700000000,1,67,"Henry County, AL",,,,
34,CN0106900000000,1,69,"Houston County, AL",,,,
35,CN0107100000000,1,71,"Jackson County, AL",,,,
36,CN0107300000000,1,73,"Jefferson County, AL",,,,
37,CN0107500000000,1,75,"Lamar County, AL",,,,
38,CN0107700000000,1,77,"Lauderdale County, AL",,,,
39,CN0107900000000,1,79,"Lawrence County, AL",,,,
40,CN0108100000000,1,81,"Lee County, AL",,,,
41,CN0108300000000,1,83,"Limestone County, AL",,,,
42,CN0108500000000,1,85,"Lowndes County, AL",,,,
43,CN0108700000000,1,87,"Macon County, AL",,,,
44,CN0108900000000,1,89,"Madison County, AL",,,,
45,CN0109100000000,1,91,"Marengo County, AL",,,,
46,CN0109300000000,1,93,"Marion County, AL",,,,
47,CN0109500000000,1,95,"Marshall County, AL",,,,
48,CN0109700000000,1,97,"Mobile County, AL",,,,
49,CN0109900000000,1,99,"Monroe County, AL",,,,
50,CN0110100000000,1,101,"Montgomery County, AL",,,,
51,CN0110300000000,1,103,"Morgan County, AL",,,,
52,CN0110500000000,1,105,"Perry County, AL",,,,
53,CN0110700000000,1,107,"Pickens County, AL",,,,
54,CN0110900000000,1,109,"Pike County, AL",,,,
55,CN0111100000000,1,111,"Randolph County, AL",,,,
56,CN0111300000000,1,113,"Russell County, AL",,,,
57,CN0111500000000,1,115,"St. Clair County, AL",,,,
58,CN0111700000000,1,117,"Shelby County, AL",,,,
59,CN0111900000000,1,119,"Sumter County, AL",,,,
60,CN0112100000000,1,121,"Talladega County, AL",,,,
61,CN0112300000000,1,123,"Tallapoosa County, AL",,,,
62,CN0112500000000,1,125,"Tuscaloosa County, AL",,,,
63,CN0112700000000,1,127,"Walker County, AL",,,,
64,CN0112900000000,1,129,"Washington County, AL",,,,
65,CN0113100000000,1,131,"Wilcox County, AL",,,,
66,CN0113300000000,1,133,"Winston County, AL",,,,
67,CN0201300000000,2,13,"Aleutians East Borough, AK",,,,
68,CN0201600000000,2,16,"Aleutians West Census Area, AK",,,,
69,CN0202000000000,2,20,"Anchorage Borough/municipality, AK",,,,
70,CN0205000000000,2,50,"Bethel Census Area, AK",,,,
71,CN0206000000000,2,60,"Bristol Bay Borough, AK",,,,
72,CN0206800000000,2,68,"Denali Borough, AK",,,,
73,CN0207000000000,2,70,"Dillingham Census Area, AK",,,,
74,CN0209000000000,2,90,"Fairbanks North Star Borough, AK",,,,
75,CN0210000000000,2,100,"Haines Borough, AK",,,,
76,CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",,,,
77,CN0211000000000,2,110,"Juneau Borough/city, AK",,,,
78,CN0212200000000,2,122,"Kenai Peninsula Borough, AK",,,,
79,CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",,,,
80,CN0215000000000,2,150,"Kodiak Island Borough, AK",,,,
81,CN0215800000000,2,158,"Kusilvak Census Area, AK",,,,
82,CN0216400000000,2,164,"Lake and Peninsula Borough, AK",,,,
83,CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",,,,
84,CN0218000000000,2,180,"Nome Census Area, AK",,,,
85,CN0218500000000,2,185,"North Slope Borough, AK",,,,
86,CN0218800000000,2,188,"Northwest Arctic Borough, AK",,,,
87,CN0219500000000,2,195,"Petersburg Borough, AK",,,,
88,CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",,,,
89,CN0222000000000,2,220,"Sitka Borough/city, AK",,,,
90,CN0223000000000,2,230,"Skagway Municipality, AK",,,,
91,CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",,,,
92,CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",,,,
93,CN0227500000000,2,275,"Wrangell Borough/city, AK",,,,
94,CN0228200000000,2,282,"Yakutat Borough/city, AK",,,,
95,CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",,,,
96,CN0400100000000,4,1,"Apache County, AZ",,,,
97,CN0400300000000,4,3,"Cochise County, AZ",,,,
98,CN0400500000000,4,5,"Coconino County, AZ",,,,
99,CN0400700000000,4,7,"Gila County, AZ",,,,
100,CN0400900000000,4,9,"Graham County, AZ",,,,
101,CN0401100000000,4,11,"Greenlee County, AZ",,,,
102,CN0401200000000,4,12,"La Paz County, AZ",,,,
103,CN0401300000000,4,13,"Maricopa County, AZ",,,,
104,CN0401500000000,4,15,"Mohave County, AZ",,,,
105,CN0401700000000,4,17,"Navajo County, AZ",,,,
106,CN0401900000000,4,19,"Pima County, AZ",,,,
107,CN0402100000000,4,21,"Pinal County, AZ",,,,
